Date,Close/Last,Volume,Open,High,Low
03/10/2021,$205.45,3400164,$206.885,$208.04,$204.39
03/09/2021,$206.11,4227322,$208.34,$212.16,$206.06
03/08/2021,$207.03,3300343,$207.00,$210.8896,$206.32
03/05/2021,$206.92,3876160,$201.02,$207.67,$200.88
03/04/2021,$200.54,4308430,$203.79,$204.74,$198.61
03/03/2021,$202.00,3660317,$203.37,$204.31,$199.705
03/02/2021,$204.14,3445286,$208.89,$209.95,$204.10
03/01/2021,$206.47,2797548,$205.78,$208.24,$204.78
02/26/2021,$204.89,3887878,$206.70,$206.99,$202.06
02/25/2021,$203.82,2386804,$203.57,$205.55,$201.75
02/24/2021,$204.52,2848792,$201.67,$206.455,$201.63
02/23/2021,$202.48,3287678,$200.31,$204.31,$198.68
02/22/2021,$200.68,2263632,$199.18,$201.61,$197.96
02/19/2021,$200.92,3434858,$201.13,$202.8789,$200.3301
02/18/2021,$201.12,3919791,$205.30,$205.415,$200.95
02/17/2021,$206.46,3339286,$205.01,$206.69,$204.265
02/16/2021,$205.76,2741949,$205.98,$207.49,$203.61
02/12/2021,$207.29,2611297,$201.65,$208.22,$201.15
02/11/2021,$202.58,3544689,$202.87,$204.18,$201.62
02/10/2021,$204.39,3062709,$204.47,$205.55,$201.64
02/09/2021,$201.71,2661320,$203.75,$204.9499,$200.32
02/08/2021,$205.77,2909487,$202.38,$206.43,$201.91
02/05/2021,$201.77,2732210,$201.62,$202.9199,$200.85
02/04/2021,$201.62,2924329,$196.81,$201.88,$195.64
02/03/2021,$196.96,3679090,$197.81,$200.59,$196.89
02/02/2021,$197.56,5314567,$204.38,$205.90,$197.35
02/01/2021,$203.14,5383786,$209.46,$209.89,$203.10
01/29/2021,$207.97,8401721,$211.96,$218.00,$204.46
01/28/2021,$210.12,5460392,$208.00,$211.84,$207.57
01/27/2021,$207.57,7358032,$211.07,$212.02,$205.10
01/26/2021,$212.72,6601482,$212.55,$213.23,$210.60
01/25/2021,$212.35,5959055,$208.24,$212.53,$208.0879
01/22/2021,$206.14,6128788,$202.04,$206.54,$200.56
01/21/2021,$202.35,8702898,$203.70,$204.72,$198.01
01/20/2021,$201.26,5335808,$198.77,$201.7731,$198.68
01/19/2021,$198.48,7729052,$196.00,$199.5199,$194.07
01/15/2021,$190.77,6624572,$186.80,$191.78,$186.80
01/14/2021,$186.69,4413184,$185.27,$188.96,$184.58
01/13/2021,$185.50,7303875,$179.83,$187.62,$179.34
01/12/2021,$178.80,7179275,$182.79,$184.24,$177.438
01/11/2021,$185.94,11402290,$185.00,$189.3012,$182.02
01/08/2021,$166.41,3438248,$166.22,$166.86,$164.64
01/07/2021,$165.83,3025518,$164.18,$167.12,$161.78
01/06/2021,$164.32,3619696,$162.98,$167.28,$162.97
01/05/2021,$166.32,2322787,$165.19,$166.66,$163.20
01/04/2021,$165.50,3164894,$169.02,$169.4776,$163.105
12/31/2020,$168.84,1643767,$167.07,$169.135,$166.29
12/30/2020,$167.01,1413465,$167.44,$168.39,$166.68
12/29/2020,$166.58,1712024,$166.63,$167.75,$165.91
12/28/2020,$166.50,1482012,$167.21,$167.6028,$165.21
12/24/2020,$166.66,627229,$165.85,$167.94,$165.85
12/23/2020,$165.48,1697282,$167.45,$167.9997,$165.47
12/22/2020,$166.72,2448907,$167.71,$168.39,$165.87
12/21/2020,$168.78,3656017,$168.88,$169.00,$165.80
12/18/2020,$171.40,7356515,$172.52,$172.89,$169.00
12/17/2020,$172.63,3473825,$171.73,$173.895,$171.10
12/16/2020,$172.05,6009932,$169.69,$173.19,$166.75
12/15/2020,$167.43,6976079,$159.43,$168.23,$158.05
12/14/2020,$157.91,4390109,$160.69,$162.2871,$157.83
12/11/2020,$160.04,3435693,$159.72,$161.18,$159.06
12/10/2020,$161.00,6430596,$159.87,$162.00,$158.18
12/09/2020,$158.00,8364372,$154.59,$158.94,$153.68
12/08/2020,$149.30,2754502,$146.98,$150.14,$146.91
