Date,Close/Last,Volume,Open,High,Low
09/27/2021,$49.54,1439356,$49.915,$49.945,$49.425
09/24/2021,$50.35,1983462,$50.325,$50.795,$50.195
09/23/2021,$51.05,1048062,$51.11,$51.265,$50.935
09/22/2021,$50.435,1175912,$50.47,$50.845,$50.2525
09/21/2021,$50.885,1961864,$50.44,$51.215,$50.44
09/20/2021,$49.83,2209818,$49.32,$50.255,$49.285
09/17/2021,$50.705,3016592,$50.80,$51.1453,$50.47
09/16/2021,$51.19,1922814,$50.985,$51.30,$50.825
09/15/2021,$50.635,1274130,$50.675,$50.699,$50.30
09/14/2021,$50.015,1933512,$50.01,$50.55,$49.94
09/13/2021,$49.835,1964370,$50.445,$50.515,$49.625
09/10/2021,$49.775,1744478,$49.90,$50.145,$49.625
09/09/2021,$49.645,2361216,$50.27,$50.405,$49.565
09/08/2021,$50.35,1544356,$50.31,$50.63,$50.18
09/07/2021,$50.685,1365312,$50.79,$50.85,$50.55
09/03/2021,$50.445,1978462,$50.175,$50.5975,$49.94
09/02/2021,$50.84,1284906,$50.695,$50.875,$50.445
09/01/2021,$50.405,2497360,$49.965,$50.4348,$49.915
08/31/2021,$49.985,4786394,$50.85,$50.86,$49.53
08/30/2021,$51.19,2537186,$50.71,$51.455,$50.67
08/27/2021,$50.94,2760330,$51.325,$51.635,$50.86
08/26/2021,$51.785,1410640,$51.915,$52.195,$51.78
08/25/2021,$51.815,1629058,$51.595,$51.835,$51.365
08/24/2021,$51.81,2827152,$52.16,$52.575,$51.765
08/23/2021,$52.97,2794130,$53.305,$53.305,$52.88
08/20/2021,$53.31,1864304,$53.01,$53.62,$52.94
08/19/2021,$52.805,2016944,$52.34,$53.09,$52.30
08/18/2021,$52.005,2025744,$52.485,$52.865,$52.005
08/17/2021,$52.465,1935580,$52.085,$52.48,$52.00
08/16/2021,$51.63,1501074,$51.30,$51.635,$51.1351
08/13/2021,$51.38,1527478,$50.995,$51.5175,$50.97
08/12/2021,$50.885,1402318,$50.415,$51.05,$50.25
08/11/2021,$50.365,1999326,$50.11,$50.55,$50.005
08/10/2021,$50.055,2808488,$50.045,$50.395,$49.78
08/09/2021,$50.325,2070748,$50.035,$50.48,$49.785
08/06/2021,$49.74,3494168,$49.235,$50.035,$49.1755
08/05/2021,$51.55,4177320,$50.655,$51.605,$50.54
08/04/2021,$49.105,6307440,$46.795,$49.26,$46.7775
08/03/2021,$46.56,2904244,$46.405,$46.67,$46.3185
08/02/2021,$46.50,1523996,$46.095,$46.505,$45.835
07/30/2021,$46.30,1448696,$46.335,$46.435,$46.145
07/29/2021,$45.685,1729684,$45.97,$46.09,$45.55
07/28/2021,$45.745,2398062,$45.24,$45.955,$45.1528
07/27/2021,$44.825,1398444,$44.71,$44.825,$44.435
07/26/2021,$44.635,2154942,$44.64,$44.875,$44.46
07/23/2021,$45.375,3307326,$44.81,$45.43,$44.645
07/22/2021,$44.11,2893556,$44.24,$44.50,$44.105
07/21/2021,$44.405,1315124,$44.15,$44.47,$43.925
07/20/2021,$43.755,2616014,$43.62,$44.00,$43.595
