Date,Close/Last,Volume,Open,High,Low
04/17/2023,$151.05,4296401,$151.17,$151.47,$150.34
04/14/2023,$151.00,4478782,$151.35,$151.5899,$150.51
04/13/2023,$151.77,5489710,$150.90,$151.87,$149.82
04/12/2023,$151.07,6138080,$150.31,$152.41,$149.93
04/11/2023,$150.66,6311997,$151.255,$151.44,$150.52
04/10/2023,$150.96,4891875,$151.65,$151.67,$149.51
04/06/2023,$152.22,5399741,$151.865,$152.96,$151.4168
04/05/2023,$151.26,6094801,$151.33,$152.35,$151.15
04/04/2023,$150.23,6714506,$150.08,$151.71,$150.08
04/03/2023,$149.51,5721680,$148.425,$150.07,$147.09
03/31/2023,$148.69,7685942,$147.74,$148.69,$147.575
03/30/2023,$147.45,4117824,$146.92,$147.54,$146.30
03/29/2023,$146.81,4987741,$147.08,$147.2901,$146.26
03/28/2023,$146.36,4213913,$146.55,$146.815,$145.80
03/27/2023,$145.95,5917156,$146.89,$147.4196,$145.87
03/24/2023,$146.72,6145622,$144.30,$146.76,$144.30
03/23/2023,$143.79,5788459,$144.24,$145.12,$143.19
03/22/2023,$143.99,5729129,$144.04,$145.75,$143.83
03/21/2023,$144.08,7753184,$144.91,$145.23,$142.84
03/20/2023,$145.13,8379233,$143.50,$145.40,$143.23
03/17/2023,$142.93,16018760,$142.50,$143.39,$141.53
03/16/2023,$142.89,7063643,$141.94,$143.124,$141.61
03/15/2023,$141.83,8823491,$138.81,$142.15,$138.81
03/14/2023,$139.85,9219678,$138.29,$140.11,$137.40
03/13/2023,$138.14,8337075,$137.045,$141.32,$137.045
03/10/2023,$137.19,5928003,$136.95,$137.99,$136.35
03/09/2023,$136.57,4467211,$138.15,$138.56,$136.10
03/08/2023,$137.58,5518821,$137.20,$137.69,$136.595
03/07/2023,$137.56,5606803,$140.43,$140.62,$137.34
03/06/2023,$140.35,4943248,$140.73,$141.135,$139.9425
03/03/2023,$140.95,5259353,$141.185,$141.24,$139.965
